 (-1473.0, 189883.4), 
 (180646.6, 256118.8), 
 (58083.2, 49063.6), 
 (-23625.6, 401614.1), 
 (121424.3, 432227.1), 
 (70885.0, 396604.7), 
 (-128934.4, -95095.8), 
 (434456.2, -174355.6), 
 (480097.4, 44388.2), 
 (367998.1, 132553.6), 
 (-237805.3, 456606.1), 
 (-405675.9, 338940.9), 
 (297755.2, -119808.8), 
 (232410.4, 215487.0), 
 (30253.2, 102497.2), 
 (-61474.4, 14554.4), 
 (25132.5, 368997.3), 
 (-138619.2, 199234.3), 
 (198346.4, -155319.9), 
 (-198398.0, -54575.3), 
 (147250.6, 122646.1), 
 (136563.8, 271703.6), 
 (249219.7, 357197.4), 
 (-55351.8, 166394.9), 
 (88251.0, 14777.1), 
 (313340.0, -320964.1), 
 (485440.7, -375733.5), 
 (26357.0, -35428.3), 
 (9213.8, 53293.8), 
 (-73385.7, 90140.7), 
 (191889.9, 347401.2), 
 (95820.7, -278439.8), 
 (258459.2, 247992.5), 
 (166175.0, -401337.1), 
 (-85519.6, -110457.9), 
 (-123479.7, -236472.2), 
 (-215764.0, 99268.9), 
 (141461.9, -328645.1), 
 (-142181.4, -10047.3), 
 (-243594.0, -261519.2), 
 (-198620.7, -161442.5), 
 (172965.5, 25129.8), 
 (95932.0, 251332.1), 
 (-340665.0, -101107.1), 
 (-402336.3, -209310.1), 
 (-98878.0, -141404.9), 
 (43500.3, 215709.7), 
 (281725.1, -4703.9), 
 (-4812.6, -95652.4), 
 (-131383.4, -425382.2), 
 (98269.8, -139401.1), 
 (-163220.9, -123816.3), 
 (-298920.0, -235025.0), 
 (334936.1, 341056.0), 
 (201574.7, 399944.3), 
 (217938.8, 490670.1), 
 (-15165.3, -68267.7), 
 (122871.5, 196117.3), 
 (-146856.9, 108174.5), 
 (106730.1, 326695.7), 
 (-446307.7, -49343.3), 
 (-412911.7, -36986.7), 
 (-380851.5, -400223.9), 
 (-489054.6, -255730.5), 
 (-492950.8, -196285.7), 
 (-382298.7, -319516.9), 
 (-255393.9, -437070.8), 
 (98937.7, 102608.5), 
 (170739.1, 171960.9), 
 (-805.0, -26411.3), 
 (61868.1, -39213.1), 
 (95598.1, -104224.0), 
 (-30527.5, -37098.1), 
 (4761.0, -77952.5), 
 (20568.4, -89975.1), 
 (36709.8, -101107.1), 
 (65987.0, -98101.4), 
 (92592.4, -195729.1), 
 (-5703.1, -164002.9), 
 (-1027.7, -291130.3), 
 (-30193.5, -230015.6), 
 (-266971.2, -185153.7) 
